sample,mapTo,bestHit,filtered
DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_S0_L001,353834360,12902045,254722
DTU_2021_1010145_1_MG_Nuuk_ID163_S3_StV24A_59_6360_mid14_S0_L001,291809911,11859838,216836
DTU_2021_1010146_1_MG_Nuuk_ID164_S3_StV24A_59_6360_mid15_S0_L001,366962867,13293368,382368
DTU_2021_1010147_1_MG_Nuuk_ID165_S3_StV24A_63_7165_mid16_S0_L001,901764203,31443992,2999548
DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_S0_L001,606523564,20243520,1276532
DTU_2021_1010149_1_MG_Nuuk_ID167_S3_StV24A_63_7165_mid18_S0_L001,490987891,19205520,1650872
DTU_2021_1010150_1_MG_Nuuk_ID168_S3_StV24A_72_mid19_S0_L001,827841993,25839328,2967358
DTU_2021_1010151_1_MG_Nuuk_ID169_S3_StV24A_72_mid20_S0_L001,917367576,27906718,3251536
DTU_2021_1010152_1_MG_Nuuk_ID170_S3_StV24A_72_mid21_S0_L001,1006967946,29245460,3388928
DTU_2021_1010153_1_MG_Nuuk_ID171_S5_StNuuk_11_mid1_S0_L001,226897549,9872546,472824
DTU_2021_1010154_1_MG_Nuuk_ID172_S5_StNuuk_11_mid2_S0_L001,582028363,26095628,2964146
DTU_2021_1010155_1_MG_Nuuk_ID173_S5_StNuuk_11_mid3_S0_L001,285902004,12866156,600624
DTU_2021_1010156_1_MG_Nuuk_ID174_S5_StNuuk_20_mid4_S0_L001,273433613,12471176,382646
DTU_2021_1010157_1_MG_Nuuk_ID175_S5_StNuuk_20_mid5_S0_L001,310050945,12962280,659620
DTU_2021_1010158_1_MG_Nuuk_ID176_S5_StNuuk_20_mid6_S0_L001,245988491,10121548,353772
DTU_2021_1010159_1_MG_Nuuk_ID177_S5_StNuuk_30_mid7_S0_L001,317481815,11053424,458202
DTU_2021_1010160_1_MG_Nuuk_ID178_S5_StNuuk_30_mid8_S0_L001,733128974,25866908,2378258
DTU_2021_1010161_1_MG_Nuuk_ID179_S5_StNuuk_30_mid9_S0_L001,247485381,11864948,1610734
DTU_2021_1010162_1_MG_Nuuk_ID180_S5_StNuuk_40_mid10_S0_L001,257143092,10189004,542640
DTU_2021_1010163_1_MG_Nuuk_ID181_S5_StNuuk_40_mid11_S0_L001,379634017,13362736,787406
DTU_2021_1010164_1_MG_Nuuk_ID182_S5_StNuuk_40_mid12_S0_L001,483216218,17038530,2187310
DTU_2021_1010165_1_MG_Nuuk_ID183_S5_StNuuk_50_mid13_S0_L001,233433748,10742176,831702
DTU_2021_1010166_1_MG_Nuuk_ID184_S5_StNuuk_50_mid14_S0_L001,235589817,9593526,580734
DTU_2021_1010167_1_MG_Nuuk_ID185_S5_StNuuk_50_mid15_S0_L001,218042253,9803128,889046
DTU_2021_1010168_1_MG_Nuuk_ID186_S5_StNuuk_60_mid16_S0_L001,484552341,20981013,3864438
DTU_2021_1010169_1_MG_Nuuk_ID187_S5_StNuuk_60_mid17_S0_L001,489506999,24991166,3900818
DTU_2021_1010170_1_MG_Nuuk_ID188_S5_StNuuk_60_mid18_S0_L001,264355504,12608954,1382114
DTU_2021_1010171_1_MG_Nuuk_ID189_S5_StNuuk_70_mid19_S0_L001,226318924,9407950,313314
DTU_2021_1010172_1_MG_Nuuk_ID190_S5_StNuuk_70_mid20_S0_L001,427371723,15870556,1579972
DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_S0_L001,298979463,11278812,473408
DTU_2021_1010174_1_MG_Nuuk_ID192_S5_StNuuk_41_mid22_S0_L001,343161850,12877634,1002896
DTU_2021_1010175_1_MG_Nuuk_ID193_S5_StNuuk_41_mid23_S0_L001,279096545,12108688,722882
DTU_2021_1010176_1_MG_Nuuk_ID194_S5_StNuuk_46_mid24_S0_L001,237986810,11430628,1010820
DTU_2021_1010177_1_MG_Nuuk_ID195_S5_StNuuk_46_mid25_S0_L001,223991715,10644514,618766
DTU_2021_1010178_1_MG_Nuuk_ID196_S5_StNuuk_44_mid26_S0_L001,228231285,9623830,666622
