sample_id	place	site_id	displacement	collection_year	site_cat	displ_cat	s_type	idnum	soil_char	extraction	control_pairs	latitude	longitude
Nuuk_ID178_S5_StNuuk_30_mid8	Nuuk	Nuuk_30_mid8	30	2020	S5	30_40	midden	178	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID179_S5_StNuuk_30_mid9	Nuuk	Nuuk_30_mid9	30	2020	S5	30_40	midden	179	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID180_S5_StNuuk_40_mid10	Nuuk	Nuuk_40_mid10	40	2020	S5	40_50	midden	180	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID181_S5_StNuuk_40_mid11	Nuuk	Nuuk_40_mid11	40	2020	S5	40_50	midden	181	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID182_S5_StNuuk_40_mid12	Nuuk	Nuuk_40_mid12	40	2020	S5	40_50	midden	182	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID183_S5_StNuuk_50_mid13	Nuuk	Nuuk_50_mid13	50	2020	S5	50_60	midden	183	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID184_S5_StNuuk_50_mid14	Nuuk	Nuuk_50_mid14	50	2020	S5	50_60	midden	184	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID185_S5_StNuuk_50_mid15	Nuuk	Nuuk_50_mid15	50	2020	S5	50_60	midden	185	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID186_S5_StNuuk_60_mid16	Nuuk	Nuuk_60_mid16	60	2020	S5	60_70	midden	186	NA	13/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID187_S5_StNuuk_60_mid17	Nuuk	Nuuk_60_mid17	60	2020	S5	60_70	midden	187	NA	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID188_S5_StNuuk_60_mid18	Nuuk	Nuuk_60_mid18	60	2020	S5	60_70	midden	188	NA	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID189_S5_StNuuk_70_mid19	Nuuk	Nuuk_70_mid19	70	2020	S5	70_80	midden	189	NA	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID190_S5_StNuuk_70_mid20	Nuuk	Nuuk_70_mid20	70	2020	S5	70_80	midden	190	NA	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID191_S5_StNuuk_70_mid21	Nuuk	Nuuk_70_mid21	70	2020	S5	70_80	midden	191	NA	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID192_S5_StNuuk_41_mid22	Nuuk	Nuuk_41_mid22	41	2020	S5	40_50	midden	192	wood	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID193_S5_StNuuk_41_mid23	Nuuk	Nuuk_41_mid23	41	2020	S5	40_50	midden	193	wood	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID194_S5_StNuuk_46_mid24	Nuuk	Nuuk_46_mid24	46	2020	S5	40_50	midden	194	black layer	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID195_S5_StNuuk_46_mid25	Nuuk	Nuuk_46_mid25	46	2020	S5	40_50	midden	195	black layer	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID196_S5_StNuuk_44_mid26	Nuuk	Nuuk_44_mid26	44	2020	S5	40_50	midden	196	black layer	14/04/2021	NA	64°10.149'N	-51°44.807'W
Nuuk_ID205_S4_StV26A_0_5_inf1	Nuuk	V26A_0_5_inf1	0_5	2020	V26A	0_05	infield	205	NA	15/04/2021	S201	64°23.648'N	-50°40.615'W
Nuuk_ID206_S4_StV26A_5_10_inf2	Nuuk	V26A_5_10_inf2	5_10	2020	V26A	05_10	infield	206	NA	15/04/2021	NA	64°23.648'N	-50°40.615'W
Nuuk_ID207_S4_StV26A_0_5_inf3	Nuuk	V26A_0_5_inf3	0_5	2020	V26A	0_05	infield	207	NA	15/04/2021	NA	64°23.643'N	-50°40.606'W
Nuuk_ID208_S4_StV26A_5_10_inf4	Nuuk	V26A_5_10_inf4	5_10	2020	V26A	05_10	infield	208	NA	15/04/2021	NA	64°23.643'N	-50°40.606'W
Nuuk_ID209_S4_StV26A_0_5_inf5	Nuuk	V26A_0_5_inf5	0_5	2020	V26A	0_05	infield	209	NA	15/04/2021	NA	64°23.637'N	-50°40.597'W
Nuuk_ID210_S4_StV26A_5_10_inf6	Nuuk	V26A_5_10_inf6	5_10	2020	V26A	05_10	infield	210	NA	15/04/2021	NA	64°23.637'N	-50°40.597'W
Nuuk_ID211_S4_StV26A_0_5_inf7	Nuuk	V26A_0_5_inf7	0_5	2020	V26A	0_05	infield	211	NA	15/04/2021	NA	64°23.646'N	-50°40.609'W
Nuuk_ID212_S4_StV26A_5_10_inf8	Nuuk	V26A_5_10_inf8	5_10	2020	V26A	05_10	infield	212	NA	15/04/2021	NA	64°23.646'N	-50°40.609'W
Nuuk_ID213_S4_StV26A_0_5_inf9	Nuuk	V26A_0_5_inf9	0_5	2020	V26A	0_05	infield	213	NA	15/04/2021	NA	64°23.641'N	-50°40.604'W
Nuuk_ID214_S4_StV26A_5_10_inf10	Nuuk	V26A_5_10_inf10	5_10	2020	V26A	05_10	infield	214	NA	15/04/2021	NA	64°23.641'N	-50°40.604'W
Nuuk_ID215_S4_StV26A_0_5_inf11	Nuuk	V26A_0_5_inf11	0_5	2020	V26A	0_05	infield	215	NA	15/04/2021	NA	64°23.691'N	-50°40.567'W
Nuuk_ID216_S4_StV26A_5_10_inf12	Nuuk	V26A_5_10_inf12	5_10	2020	V26A	05_10	infield	216	NA	15/04/2021	NA	64°23.691'N	-50°40.567'W
Nuuk_ID217_S4_StV26A_0_5_inf13	Nuuk	V26A_0_5_inf13	0_5	2020	V26A	0_05	infield	217	NA	15/04/2021	NA	64°23.691'N	-50°40.569'W
Nuuk_ID218_S4_StV26A_5_10_inf14	Nuuk	V26A_5_10_inf14	5_10	2020	V26A	05_10	infield	218	NA	15/04/2021	NA	64°23.691'N	-50°40.569'W
Nuuk_ID219_S4_StV26A_0_5_inf15	Nuuk	V26A_0_5_inf15	0_5	2020	V26A	0_05	infield	219	NA	15/04/2021	NA	64°23.688'N	-50°40.571'W
Nuuk_ID220_S4_StV26A_5_10_inf16	Nuuk	V26A_5_10_inf16	5_10	2020	V26A	05_10	infield	220	NA	15/04/2021	NA	64°23.688'N	-50°40.571'W
Nuuk_ID221_S4_StV26A_0_5_inf17	Nuuk	V26A_0_5_inf17	0_5	2020	V26A	0_05	infield	221	NA	15/04/2021	NA	64°23.697'N	-50°40.611'W
Nuuk_ID222_S4_StV26A_5_10_inf18	Nuuk	V26A_5_10_inf18	5_10	2020	V26A	05_10	infield	222	NA	15/04/2021	NA	64°23.697'N	-50°40.611'W
Nuuk_ID223_S4_StV26A_0_5_inf19	Nuuk	V26A_0_5_inf19	0_5	2020	V26A	0_05	infield	223	NA	15/04/2021	NA	64°23.688'N	-50°40.594'W
Nuuk_ID224_S4_StV26A_5_10_inf20	Nuuk	V26A_5_10_inf20	5_10	2020	V26A	05_10	infield	224	NA	15/04/2021	NA	64°23.688'N	-50°40.594'W
Ser_ID438_30_Mar1	Sermermiut	30_Mar1	30	2020	Ser	30_40	marine forland	438	marine forland	15/04/2021	NA	NA	NA
Ser_ID439_30_Mar2	Sermermiut	30_Mar2	30	2020	Ser	30_40	marine forland	439	marine forland	19/04/2021	NA	NA	NA
Ser_ID441_30_Mar4	Sermermiut	30_Mar4	30	2020	Ser	30_40	marine forland	441	marine forland	19/04/2021	NA	NA	NA
Ser_ID442_15_Bea1	Sermermiut	15_Bea1	15	2020	Ser	15_20	beach sediment	442	beach sediment	15/04/2021	NA	NA	NA
Ser_ID443_15_Bea2	Sermermiut	15_Bea2	15	2020	Ser	15_20	beach sediment	443	beach sediment	19/04/2021	NA	NA	NA
Ser_ID446_0_5_Sed1	Sermermiut	0_5_Sed1	0_5	2020	Cli_ser	0_05	cliff sediment	446	cliff sediment	15/04/2021	NA	NA	NA
Ser_ID447_0_5_Sed2	Sermermiut	0_5_Sed2	0_5	2020	Cli_ser	0_05	cliff sediment	447	cliff sediment	19/04/2021	NA	NA	NA
Ser_ID449_0_5_Sed4	Sermermiut	0_5_Sed4	0_5	2020	Cli_ser	0_05	cliff sediment	449	cliff sediment	19/04/2021	NA	NA	NA
Ser_ID450_0_5_Sed5	Sermermiut	0_5_Sed5	0_5	2020	Cli_ser	0_05	cliff sediment	450	cliff sediment	15/04/2021	NA	NA	NA
Ser_ID451_0_5_Sed6	Sermermiut	0_5_Sed6	0_5	2020	Cli_ser	0_05	cliff sediment	451	cliff sediment	19/04/2021	NA	NA	NA
Ser_ID452_0_5_Sed7	Sermermiut	0_5_Sed7	0_5	2020	Cli_ser	0_05	cliff sediment	452	cliff sediment	15/04/2021	NA	NA	NA
Ser_ID453_0_5_Sed8	Sermermiut	0_5_Sed8	0_5	2020	Cli_ser	0_05	cliff sediment	453	cliff sediment	19/04/2021	NA	NA	NA
Ser_ID454_0_Cli1	Sermermiut	0_Cli1	0	2020	Cli_ser	0_05	cliff sediment+midden	454	midden+cliff sediment	15/04/2021	NA	NA	NA
Ser_ID455_0_Cli2	Sermermiut	0_Cli2	0	2020	Cli_ser	0_05	cliff sediment+midden	455	midden+cliff sediment	19/04/2021	NA	NA	NA
Ser_ID456_0_Cli3	Sermermiut	0_Cli3	0	2020	Cli_ser	0_05	cliff sediment+midden	456	midden+cliff sediment	15/04/2021	NA	NA	NA
Ser_ID457_0_Cli4	Sermermiut	0_Cli4	0	2020	Cli_ser	0_05	cliff sediment+midden	457	midden+cliff sediment	19/04/2021	NA	NA	NA
Ser_ID458_0_Cli5	Sermermiut	0_Cli5	0	2020	Cli_ser	0_05	cliff sediment+midden	458	midden+cliff sediment	15/04/2021	NA	NA	NA
Ser_ID459_0_Cli6	Sermermiut	0_Cli6	0	2020	Cli_ser	0_05	cliff sediment+midden	459	midden+cliff sediment	19/04/2021	NA	NA	NA
Ser_ID460_0_Cli7	Sermermiut	0_Cli7	0	2020	Cli_ser	0_05	cliff sediment+midden	460	midden+cliff sediment	15/04/2021	NA	NA	NA
Ser_ID461_0_Cli8	Sermermiut	0_Cli8	0	2020	Cli_ser	0_05	cliff sediment+midden	461	midden+cliff sediment	19/04/2021	NA	NA	NA
Ser_ID462_0_CliT1	Sermermiut	0_CliT1	0	2020	Cli_ser	0_05	cliff sediment+midden+vegetation	462	vegetation+midden+cliff sediment	15/04/2021	NA	NA	NA
Ser_ID463_0_CliT2	Sermermiut	0_CliT2	0	2020	Cli_ser	0_05	cliff sediment+midden+vegetation	463	vegetation+midden+cliff sediment	19/04/2021	NA	NA	NA
Ser_ID464_0_CliT3	Sermermiut	0_CliT3	0	2020	Cli_ser	0_05	cliff sediment+midden+vegetation	464	vegetation+midden+cliff sediment	15/04/2021	NA	NA	NA
Ser_ID465_0_CliT4	Sermermiut	0_CliT4	0	2020	Cli_ser	0_05	cliff sediment+midden+vegetation	465	vegetation+midden+cliff sediment	19/04/2021	NA	NA	NA
Mid_ID_A1_4_Midden	Qajaa	A1_4	0	2019	Mid	0_05	midden	225	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_6B_Midden	Qajaa	A1_6B	0	2019	Mid	0_05	midden	226	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_9A_Midden	Qajaa	A1_9A	0	2019	Mid	0_05	midden	227	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_10_Midden	Qajaa	A1_10	0	2019	Mid	0_05	midden	228	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_17A_Midden	Qajaa	A1_17A	0	2019	Mid	0_05	midden	229	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_20B_Midden	Qajaa	A1_20B	0	2019	Mid	0_05	midden	230	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_23A_Midden	Qajaa	A1_23A	0	2019	Mid	0_05	midden	231	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_25_Midden	Qajaa	A1_25	0	2019	Mid	0_05	midden	232	midden	20/05/2021	NA	NA	NA
Mid_ID_A1_26A_Midden	Qajaa	A1_26A	0	2019	Mid	0_05	midden	233	midden	20/05/2021	NA	NA	NA
Nar_ID9_SFA_P4_0_5_C1	Narsarsuaq	SFA_P4_0_5_C1	NA	2020	SFA	NA	control	309	NA	21/04/2021	Nar_c	61°11.034'N	-45°22.122'W
Nar_ID10_SFA_P4_0_5_C2	Narsarsuaq	SFA_P4_0_5_C2	NA	2020	SFA	NA	control	310	NA	21/04/2021	Nar_c	61°11.034'N	-45°22.122'W
Nar_ID12_SFA_P4_0_5_C4	Narsarsuaq	SFA_P4_0_5_C4	NA	2020	SFA	NA	control+soil	312	NA	21/04/2021	Nar_c	61°11.034'N	-45°22.122'W
Nar_ID13_SFB_P5_0_5_C1	Narsarsuaq	SFB_P5_0_5_C1	NA	2020	SFB	NA	control	313	NA	21/04/2021	Nar_c	61°11.032'N	-45°22.114'W
Nar_ID14_SFB_P5_0_5_C2	Narsarsuaq	SFB_P5_0_5_C2	NA	2020	SFB	NA	control	314	NA	21/04/2021	Nar_c	61°11.032'N	-45°22.114'W
Nar_ID15_SFB_P5_0_5_C3	Narsarsuaq	SFB_P5_0_5_C3	NA	2020	SFB	NA	control	315	NA	21/04/2021	Nar_c	61°11.032'N	-45°22.114'W
Nar_ID16_SFB_P5_0_5_C4	Narsarsuaq	SFB_P5_0_5_C4	NA	2020	SFB	NA	control	316	NA	21/04/2021	Nar_c	61°11.032'N	-45°22.114'W
Nar_ID33_SFD_P13_0_5_C1	Narsarsuaq	SFD_P13_0_5_C1	NA	2020	SFD	NA	control	333	NA	22/04/2021	Nar_c	61°11.017'N	-45°22.167'W
Nar_ID34_SFD_P13_0_5_C2	Narsarsuaq	SFD_P13_0_5_C2	NA	2020	SFD	NA	control	334	NA	22/04/2021	Nar_c	61°11.017'N	-45°22.167'W
Nar_ID36_SFD_P13_0_5_C4	Narsarsuaq	SFD_P13_0_5_C4	NA	2020	SFD	NA	control	336	NA	22/04/2021	Nar_c	61°11.017'N	-45°22.167'W
Nar_ID45_SFE_P17_0_5_C1	Narsarsuaq	SFE_P17_0_5_C1	NA	2020	SFE	NA	control	345	NA	18/05/2021	Nar_c	61°11.015'N	-45°22.209'W
Nar_ID48_SFE_P17_0_5_C4	Narsarsuaq	SFE_P17_0_5_C4	NA	2020	SFE	NA	control	348	NA	26/04/2021	Nar_c	61°11.015'N	-45°22.209'W
Nuuk_ID65_S1_StV23C_0_5_C1	Nuuk	V23C_NA_C1	NA	2020	V23C	NA	control+soil	65	NA	24/02/2021	C65	"64°25'45""N"	"-50°27'13""W"
Nuuk_ID100_S2_StV23B_0_5_C1	Nuuk	V23B_NA_C1	NA	2020	V23B	NA	control+soil	100	NA	03/03/2021	B100	NA	NA
Nuuk_ID103_S2_StV23B_NA_C4	Nuuk	V23B_NA_C4	NA	2020	V23B	NA	control	103	NA	03/03/2021	S2_c	NA	NA
Nuuk_ID125_S3_StV24A_0_5_C1	Nuuk	V24A_NA_C1	NA	2020	V24A	NA	control+soil	125	NA	24/03/2021	A125	"64°28'45""N"	"-50°16'1""W"
Nuuk_ID128_S3_StV24A_NA_C4	Nuuk	V24A_NA_C4	NA	2020	V24A	NA	control	128	NA	24/03/2021	S3_c	"64°28'45""N"	"-50°16'1""W"
Nuuk_ID197_S5_StNuuk_11_C1	Nuuk	Nuuk_NA_C1	NA	2020	S5	NA	control+soil	197	NA	14/04/2021	N197	64°10.149'N	-51°44.807'W
Nuuk_ID200_S5_StNuuk__C4	Nuuk	Nuuk_NA_C4	NA	2020	S5	NA	control	200	NA	15/04/2021	S5_c	64°10.149'N	-51°44.807'W
Nuuk_ID201_S4_StV26A_0_5_C1	Nuuk	V26A_NA_C1	NA	2020	V26A	NA	control+soil	201	NA	15/04/2021	S201	64°23.648'N	-50°40.615'W
Ser_ID436_C1	Sermermiut	NA_C1	NA	2020	Ser	NA	control	436	NA	15/04/2021	Ser_c	NA	NA
Ser_ID437_C2	Sermermiut	NA_C2	NA	2020	Ser	NA	control	437	NA	19/04/2021	Ser_c	NA	NA
